grid,category,variant,variant_word,weighted,img_ref,alpha,iou
coarse,baseball glove,orig,baseball glove,False,501005,0.0,0.31400651465798046
coarse,baseball glove,orig,baseball glove,False,501005,0.1,0.34977578475336324
coarse,baseball glove,orig,baseball glove,False,501005,0.2,0.39464285714285713
coarse,baseball glove,orig,baseball glove,False,501005,0.3,0.35217794253938833
coarse,baseball glove,orig,baseball glove,False,501005,0.4,0.20770676691729323
coarse,baseball glove,orig,baseball glove,False,501005,0.5,0.04740200546946217
coarse,baseball glove,orig,baseball glove,False,501005,0.6,0.0
coarse,baseball glove,orig,baseball glove,False,501005,0.7,0.0
coarse,baseball glove,orig,baseball glove,False,501005,0.8,0.0
coarse,baseball glove,orig,baseball glove,False,501005,0.9,0.0
coarse,baseball glove,orig,baseball glove,False,501005,1.0,0.0
coarse,baseball glove,orig,baseball glove,True,501005,0.0,0.31400651465798046
coarse,baseball glove,orig,baseball glove,True,501005,0.1,0.352549889135255
coarse,baseball glove,orig,baseball glove,True,501005,0.2,0.408325952170062
coarse,baseball glove,orig,baseball glove,True,501005,0.3,0.4
coarse,baseball glove,orig,baseball glove,True,501005,0.4,0.3187732342007435
coarse,baseball glove,orig,baseball glove,True,501005,0.5,0.15225563909774437
coarse,baseball glove,orig,baseball glove,True,501005,0.6,0.01235657546337158
coarse,baseball glove,orig,baseball glove,True,501005,0.7,0.0
coarse,baseball glove,orig,baseball glove,True,501005,0.8,0.0
coarse,baseball glove,orig,baseball glove,True,501005,0.9,0.0
coarse,baseball glove,orig,baseball glove,True,501005,1.0,0.0
coarse,baseball glove,syn,glove,False,501005,0.0,0.5875748502994012
coarse,baseball glove,syn,glove,False,501005,0.1,0.5884615384615385
coarse,baseball glove,syn,glove,False,501005,0.2,0.5695208169677927
coarse,baseball glove,syn,glove,False,501005,0.3,0.5436187399030694
coarse,baseball glove,syn,glove,False,501005,0.4,0.4870292887029289
coarse,baseball glove,syn,glove,False,501005,0.5,0.36618444846292947
coarse,baseball glove,syn,glove,False,501005,0.6,0.026241799437675725
coarse,baseball glove,syn,glove,False,501005,0.7,0.0
coarse,baseball glove,syn,glove,False,501005,0.8,0.0
coarse,baseball glove,syn,glove,False,501005,0.9,0.0
coarse,baseball glove,syn,glove,False,501005,1.0,0.0
coarse,baseball glove,syn,glove,True,501005,0.0,0.5875748502994012
coarse,baseball glove,syn,glove,True,501005,0.1,0.5895465026902382
coarse,baseball glove,syn,glove,True,501005,0.2,0.5749019607843138
coarse,baseball glove,syn,glove,True,501005,0.3,0.5511684125705076
coarse,baseball glove,syn,glove,True,501005,0.4,0.5078969243557773
coarse,baseball glove,syn,glove,True,501005,0.5,0.4033687943262411
coarse,baseball glove,syn,glove,True,501005,0.6,0.09398496240601503
coarse,baseball glove,syn,glove,True,501005,0.7,0.0
coarse,baseball glove,syn,glove,True,501005,0.8,0.0
coarse,baseball glove,syn,glove,True,501005,0.9,0.0
coarse,baseball glove,syn,glove,True,501005,1.0,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.0,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.1,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.2,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.3,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.4,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.5,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.6,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.7,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.8,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,0.9,0.0
coarse,baseball glove,hyper,baseball equipment,False,501005,1.0,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.0,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.1,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.2,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.3,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.4,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.5,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.6,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.7,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.8,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,0.9,0.0
coarse,baseball glove,hyper,baseball equipment,True,501005,1.0,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.0,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.1,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.2,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.3,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.4,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.5,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.6,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.7,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.8,0.0
coarse,baseball glove,orig,baseball glove,False,302107,0.9,0.0
coarse,baseball glove,orig,baseball glove,False,302107,1.0,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.0,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.1,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.2,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.3,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.4,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.5,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.6,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.7,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.8,0.0
coarse,baseball glove,orig,baseball glove,True,302107,0.9,0.0
coarse,baseball glove,orig,baseball glove,True,302107,1.0,0.0
coarse,baseball glove,syn,glove,False,302107,0.0,0.0
coarse,baseball glove,syn,glove,False,302107,0.1,0.0
coarse,baseball glove,syn,glove,False,302107,0.2,0.0
coarse,baseball glove,syn,glove,False,302107,0.3,0.0
coarse,baseball glove,syn,glove,False,302107,0.4,0.0
coarse,baseball glove,syn,glove,False,302107,0.5,0.0
coarse,baseball glove,syn,glove,False,302107,0.6,0.0
coarse,baseball glove,syn,glove,False,302107,0.7,0.0
coarse,baseball glove,syn,glove,False,302107,0.8,0.0
coarse,baseball glove,syn,glove,False,302107,0.9,0.0
coarse,baseball glove,syn,glove,False,302107,1.0,0.0
coarse,baseball glove,syn,glove,True,302107,0.0,0.0
coarse,baseball glove,syn,glove,True,302107,0.1,0.0
coarse,baseball glove,syn,glove,True,302107,0.2,0.0
coarse,baseball glove,syn,glove,True,302107,0.3,0.0
coarse,baseball glove,syn,glove,True,302107,0.4,0.0
coarse,baseball glove,syn,glove,True,302107,0.5,0.0
coarse,baseball glove,syn,glove,True,302107,0.6,0.0
coarse,baseball glove,syn,glove,True,302107,0.7,0.0
coarse,baseball glove,syn,glove,True,302107,0.8,0.0
coarse,baseball glove,syn,glove,True,302107,0.9,0.0
coarse,baseball glove,syn,glove,True,302107,1.0,0.0
coarse,baseball glove,hyper,baseball equipment,False,302107,0.0,0.37121706945351624
coarse,baseball glove,hyper,baseball equipment,False,302107,0.1,0.3844327176781003
coarse,baseball glove,hyper,baseball equipment,False,302107,0.2,0.2773134328358209
coarse,baseball glove,hyper,baseball equipment,False,302107,0.3,0.25801177240026163
coarse,baseball glove,hyper,baseball equipment,False,302107,0.4,0.2453900709219858
coarse,baseball glove,hyper,baseball equipment,False,302107,0.5,0.21886651752423564
coarse,baseball glove,hyper,baseball equipment,False,302107,0.6,0.11320015667841755
coarse,baseball glove,hyper,baseball equipment,False,302107,0.7,0.007401315789473684
coarse,baseball glove,hyper,baseball equipment,False,302107,0.8,0.0
coarse,baseball glove,hyper,baseball equipment,False,302107,0.9,0.0
coarse,baseball glove,hyper,baseball equipment,False,302107,1.0,0.0
coarse,baseball glove,hyper,baseball equipment,True,302107,0.0,0.37121706945351624
coarse,baseball glove,hyper,baseball equipment,True,302107,0.1,0.3815928270042194
coarse,baseball glove,hyper,baseball equipment,True,302107,0.2,0.2742415229030339
coarse,baseball glove,hyper,baseball equipment,True,302107,0.3,0.24886141834743006
coarse,baseball glove,hyper,baseball equipment,True,302107,0.4,0.23921431076815153
coarse,baseball glove,hyper,baseball equipment,True,302107,0.5,0.21751932278248068
coarse,baseball glove,hyper,baseball equipment,True,302107,0.6,0.1397312859884837
coarse,baseball glove,hyper,baseball equipment,True,302107,0.7,0.00801924619085806
coarse,baseball glove,hyper,baseball equipment,True,302107,0.8,0.0
coarse,baseball glove,hyper,baseball equipment,True,302107,0.9,0.0
coarse,baseball glove,hyper,baseball equipment,True,302107,1.0,0.0
coarse,baseball glove,orig,baseball glove,False,434548,0.0,0.6541114058355437
coarse,baseball glove,orig,baseball glove,False,434548,0.1,0.6496544391281234
coarse,baseball glove,orig,baseball glove,False,434548,0.2,0.6464646464646465
coarse,baseball glove,orig,baseball glove,False,434548,0.3,0.6454013822434875
coarse,baseball glove,orig,baseball glove,False,434548,0.4,0.6441129461907299
coarse,baseball glove,orig,baseball glove,False,434548,0.5,0.6450749464668094
coarse,baseball glove,orig,baseball glove,False,434548,0.6,0.6464864864864864
coarse,baseball glove,orig,baseball glove,False,434548,0.7,0.6506287588846364
coarse,baseball glove,orig,baseball glove,False,434548,0.8,0.6574279379157428
coarse,baseball glove,orig,baseball glove,False,434548,0.9,0.6623229461756374
coarse,baseball glove,orig,baseball glove,False,434548,1.0,0.6772861356932154
coarse,baseball glove,orig,baseball glove,True,434548,0.0,0.6541114058355437
coarse,baseball glove,orig,baseball glove,True,434548,0.1,0.6493092454835282
coarse,baseball glove,orig,baseball glove,True,434548,0.2,0.6464646464646465
coarse,baseball glove,orig,baseball glove,True,434548,0.3,0.6455897980871413
coarse,baseball glove,orig,baseball glove,True,434548,0.4,0.6448349307774228
coarse,baseball glove,orig,baseball glove,True,434548,0.5,0.6452648475120385
coarse,baseball glove,orig,baseball glove,True,434548,0.6,0.6467098166127292
coarse,baseball glove,orig,baseball glove,True,434548,0.7,0.6485310119695321
coarse,baseball glove,orig,baseball glove,True,434548,0.8,0.655457552370452
coarse,baseball glove,orig,baseball glove,True,434548,0.9,0.6590016825574874
coarse,baseball glove,orig,baseball glove,True,434548,1.0,0.6687751581368603
coarse,baseball glove,syn,glove,False,434548,0.0,0.5632070831283817
coarse,baseball glove,syn,glove,False,434548,0.1,0.5543269230769231
coarse,baseball glove,syn,glove,False,434548,0.2,0.5593056894889104
coarse,baseball glove,syn,glove,False,434548,0.3,0.5743110236220472
coarse,baseball glove,syn,glove,False,434548,0.4,0.6005128205128205
coarse,baseball glove,syn,glove,False,434548,0.5,0.6388286334056399
coarse,baseball glove,syn,glove,False,434548,0.6,0.655592469545958
coarse,baseball glove,syn,glove,False,434548,0.7,0.6556291390728477
coarse,baseball glove,syn,glove,False,434548,0.8,0.654925701706109
coarse,baseball glove,syn,glove,False,434548,0.9,0.6527701590784422
coarse,baseball glove,syn,glove,False,434548,1.0,0.6535087719298246
coarse,baseball glove,syn,glove,True,434548,0.0,0.5632070831283817
coarse,baseball glove,syn,glove,True,434548,0.1,0.5548604427333975
coarse,baseball glove,syn,glove,True,434548,0.2,0.5610226724553786
coarse,baseball glove,syn,glove,True,434548,0.3,0.576221016280217
coarse,baseball glove,syn,glove,True,434548,0.4,0.6061855670103092
coarse,baseball glove,syn,glove,True,434548,0.5,0.6466411796832332
coarse,baseball glove,syn,glove,True,434548,0.6,0.6541643684500827
coarse,baseball glove,syn,glove,True,434548,0.7,0.6531284302963776
coarse,baseball glove,syn,glove,True,434548,0.8,0.6502732240437158
coarse,baseball glove,syn,glove,True,434548,0.9,0.6503000545553737
coarse,baseball glove,syn,glove,True,434548,1.0,0.6503267973856209
coarse,baseball glove,hyper,baseball equipment,False,434548,0.0,0.21652188165874448
coarse,baseball glove,hyper,baseball equipment,False,434548,0.1,0.2840860215053763
coarse,baseball glove,hyper,baseball equipment,False,434548,0.2,0.34965590259396506
coarse,baseball glove,hyper,baseball equipment,False,434548,0.3,0.5343851132686084
coarse,baseball glove,hyper,baseball equipment,False,434548,0.4,0.5875628715134888
coarse,baseball glove,hyper,baseball equipment,False,434548,0.5,0.6188828472565496
coarse,baseball glove,hyper,baseball equipment,False,434548,0.6,0.6451781970649895
coarse,baseball glove,hyper,baseball equipment,False,434548,0.7,0.6552094522019334
coarse,baseball glove,hyper,baseball equipment,False,434548,0.8,0.6567406605305901
coarse,baseball glove,hyper,baseball equipment,False,434548,0.9,0.6492659053833605
coarse,baseball glove,hyper,baseball equipment,False,434548,1.0,0.6547356828193832
coarse,baseball glove,hyper,baseball equipment,True,434548,0.0,0.21652188165874448
coarse,baseball glove,hyper,baseball equipment,True,434548,0.1,0.28414712841471285
coarse,baseball glove,hyper,baseball equipment,True,434548,0.2,0.349286092014807
coarse,baseball glove,hyper,baseball equipment,True,434548,0.3,0.533091202582728
coarse,baseball glove,hyper,baseball equipment,True,434548,0.4,0.5889849795175239
coarse,baseball glove,hyper,baseball equipment,True,434548,0.5,0.6211149481993093
coarse,baseball glove,hyper,baseball equipment,True,434548,0.6,0.6465067778936392
coarse,baseball glove,hyper,baseball equipment,True,434548,0.7,0.653475935828877
coarse,baseball glove,hyper,baseball equipment,True,434548,0.8,0.6535560344827587
coarse,baseball glove,hyper,baseball equipment,True,434548,0.9,0.6507850568489443
coarse,baseball glove,hyper,baseball equipment,True,434548,1.0,0.6502732240437158
coarse,baseball glove,orig,baseball glove,False,231747,0.0,0.0
coarse,baseball glove,orig,baseball glove,False,231747,0.1,0.0
coarse,baseball glove,orig,baseball glove,False,231747,0.2,0.0
coarse,baseball glove,orig,baseball glove,False,231747,0.3,0.0
coarse,baseball glove,orig,baseball glove,False,231747,0.4,0.0
coarse,baseball glove,orig,baseball glove,False,231747,0.5,0.0
coarse,baseball glove,orig,baseball glove,False,231747,0.6,0.0
coarse,baseball glove,orig,baseball glove,False,231747,0.7,0.0
coarse,baseball glove,orig,baseball glove,False,231747,0.8,0.0
coarse,baseball glove,orig,baseball glove,False,231747,0.9,0.0
coarse,baseball glove,orig,baseball glove,False,231747,1.0,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.0,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.1,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.2,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.3,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.4,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.5,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.6,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.7,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.8,0.0
coarse,baseball glove,orig,baseball glove,True,231747,0.9,0.0
coarse,baseball glove,orig,baseball glove,True,231747,1.0,0.0
coarse,baseball glove,syn,glove,False,231747,0.0,0.0
coarse,baseball glove,syn,glove,False,231747,0.1,0.0
coarse,baseball glove,syn,glove,False,231747,0.2,0.0
coarse,baseball glove,syn,glove,False,231747,0.3,0.0
coarse,baseball glove,syn,glove,False,231747,0.4,0.0
coarse,baseball glove,syn,glove,False,231747,0.5,0.0
coarse,baseball glove,syn,glove,False,231747,0.6,0.0
coarse,baseball glove,syn,glove,False,231747,0.7,0.0
coarse,baseball glove,syn,glove,False,231747,0.8,0.0
coarse,baseball glove,syn,glove,False,231747,0.9,0.0
coarse,baseball glove,syn,glove,False,231747,1.0,0.0
coarse,baseball glove,syn,glove,True,231747,0.0,0.0
coarse,baseball glove,syn,glove,True,231747,0.1,0.0
coarse,baseball glove,syn,glove,True,231747,0.2,0.0
coarse,baseball glove,syn,glove,True,231747,0.3,0.0
coarse,baseball glove,syn,glove,True,231747,0.4,0.0
coarse,baseball glove,syn,glove,True,231747,0.5,0.0
coarse,baseball glove,syn,glove,True,231747,0.6,0.0
coarse,baseball glove,syn,glove,True,231747,0.7,0.0
coarse,baseball glove,syn,glove,True,231747,0.8,0.0
coarse,baseball glove,syn,glove,True,231747,0.9,0.0
coarse,baseball glove,syn,glove,True,231747,1.0,0.0
coarse,baseball glove,hyper,baseball equipment,False,231747,0.0,0.0
coarse,baseball glove,hyper,baseball equipment,False,231747,0.1,0.0
coarse,baseball glove,hyper,baseball equipment,False,231747,0.2,0.0
coarse,baseball glove,hyper,baseball equipment,False,231747,0.3,0.0
coarse,baseball glove,hyper,baseball equipment,False,231747,0.4,0.0
coarse,baseball glove,hyper,baseball equipment,False,231747,0.5,0.0
coarse,baseball glove,hyper,baseball equipment,False,231747,0.6,0.0003616636528028933
coarse,baseball glove,hyper,baseball equipment,False,231747,0.7,0.0009427292010370022
coarse,baseball glove,hyper,baseball equipment,False,231747,0.8,0.0010618216139688533
coarse,baseball glove,hyper,baseball equipment,False,231747,0.9,0.0008577380223011886
coarse,baseball glove,hyper,baseball equipment,False,231747,1.0,0.0
coarse,baseball glove,hyper,baseball equipment,True,231747,0.0,0.0
coarse,baseball glove,hyper,baseball equipment,True,231747,0.1,0.0
coarse,baseball glove,hyper,baseball equipment,True,231747,0.2,0.0
coarse,baseball glove,hyper,baseball equipment,True,231747,0.3,0.0
coarse,baseball glove,hyper,baseball equipment,True,231747,0.4,0.0
coarse,baseball glove,hyper,baseball equipment,True,231747,0.5,0.0
coarse,baseball glove,hyper,baseball equipment,True,231747,0.6,0.0
coarse,baseball glove,hyper,baseball equipment,True,231747,0.7,0.0007128430557205655
coarse,baseball glove,hyper,baseball equipment,True,231747,0.8,0.0008293838862559242
coarse,baseball glove,hyper,baseball equipment,True,231747,0.9,0.0007317073170731707
coarse,baseball glove,hyper,baseball equipment,True,231747,1.0,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.0,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.1,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.2,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.3,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.4,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.5,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.6,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.7,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.8,0.0
coarse,baseball glove,orig,baseball glove,False,231508,0.9,0.0
coarse,baseball glove,orig,baseball glove,False,231508,1.0,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.0,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.1,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.2,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.3,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.4,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.5,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.6,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.7,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.8,0.0
coarse,baseball glove,orig,baseball glove,True,231508,0.9,0.0
coarse,baseball glove,orig,baseball glove,True,231508,1.0,0.0
coarse,baseball glove,syn,glove,False,231508,0.0,0.0
coarse,baseball glove,syn,glove,False,231508,0.1,0.0
coarse,baseball glove,syn,glove,False,231508,0.2,0.0
coarse,baseball glove,syn,glove,False,231508,0.3,0.0
coarse,baseball glove,syn,glove,False,231508,0.4,0.0
coarse,baseball glove,syn,glove,False,231508,0.5,0.0
coarse,baseball glove,syn,glove,False,231508,0.6,0.0
coarse,baseball glove,syn,glove,False,231508,0.7,0.0
coarse,baseball glove,syn,glove,False,231508,0.8,0.0
coarse,baseball glove,syn,glove,False,231508,0.9,0.0
coarse,baseball glove,syn,glove,False,231508,1.0,0.0
coarse,baseball glove,syn,glove,True,231508,0.0,0.0
coarse,baseball glove,syn,glove,True,231508,0.1,0.0
coarse,baseball glove,syn,glove,True,231508,0.2,0.0
coarse,baseball glove,syn,glove,True,231508,0.3,0.0
coarse,baseball glove,syn,glove,True,231508,0.4,0.0
coarse,baseball glove,syn,glove,True,231508,0.5,0.0
coarse,baseball glove,syn,glove,True,231508,0.6,0.0
coarse,baseball glove,syn,glove,True,231508,0.7,0.0
coarse,baseball glove,syn,glove,True,231508,0.8,0.0
coarse,baseball glove,syn,glove,True,231508,0.9,0.0
coarse,baseball glove,syn,glove,True,231508,1.0,0.0
coarse,baseball glove,hyper,baseball equipment,False,231508,0.0,0.04625430799927444
coarse,baseball glove,hyper,baseball equipment,False,231508,0.1,0.05884808013355593
coarse,baseball glove,hyper,baseball equipment,False,231508,0.2,0.0
coarse,baseball glove,hyper,baseball equipment,False,231508,0.3,0.0
coarse,baseball glove,hyper,baseball equipment,False,231508,0.4,0.0
coarse,baseball glove,hyper,baseball equipment,False,231508,0.5,0.0
coarse,baseball glove,hyper,baseball equipment,False,231508,0.6,0.0
coarse,baseball glove,hyper,baseball equipment,False,231508,0.7,0.0
coarse,baseball glove,hyper,baseball equipment,False,231508,0.8,0.0
coarse,baseball glove,hyper,baseball equipment,False,231508,0.9,0.0
coarse,baseball glove,hyper,baseball equipment,False,231508,1.0,0.0
coarse,baseball glove,hyper,baseball equipment,True,231508,0.0,0.04625430799927444
coarse,baseball glove,hyper,baseball equipment,True,231508,0.1,0.05862785862785863
coarse,baseball glove,hyper,baseball equipment,True,231508,0.2,0.0
coarse,baseball glove,hyper,baseball equipment,True,231508,0.3,0.0
coarse,baseball glove,hyper,baseball equipment,True,231508,0.4,0.0
coarse,baseball glove,hyper,baseball equipment,True,231508,0.5,0.0
coarse,baseball glove,hyper,baseball equipment,True,231508,0.6,0.0
coarse,baseball glove,hyper,baseball equipment,True,231508,0.7,0.0
coarse,baseball glove,hyper,baseball equipment,True,231508,0.8,0.0
coarse,baseball glove,hyper,baseball equipment,True,231508,0.9,0.0
coarse,baseball glove,hyper,baseball equipment,True,231508,1.0,0.0
coarse,broccoli,orig,broccoli,False,125245,0.0,0.0
coarse,broccoli,orig,broccoli,False,125245,0.1,0.0
coarse,broccoli,orig,broccoli,False,125245,0.2,0.0
coarse,broccoli,orig,broccoli,False,125245,0.3,0.0
coarse,broccoli,orig,broccoli,False,125245,0.4,0.0
coarse,broccoli,orig,broccoli,False,125245,0.5,0.0
coarse,broccoli,orig,broccoli,False,125245,0.6,0.0
coarse,broccoli,orig,broccoli,False,125245,0.7,0.0
coarse,broccoli,orig,broccoli,False,125245,0.8,0.0
coarse,broccoli,orig,broccoli,False,125245,0.9,0.0
coarse,broccoli,orig,broccoli,False,125245,1.0,0.0
coarse,broccoli,orig,broccoli,True,125245,0.0,0.0
coarse,broccoli,orig,broccoli,True,125245,0.1,0.0
coarse,broccoli,orig,broccoli,True,125245,0.2,0.0
coarse,broccoli,orig,broccoli,True,125245,0.3,0.0
coarse,broccoli,orig,broccoli,True,125245,0.4,0.0
coarse,broccoli,orig,broccoli,True,125245,0.5,0.0
coarse,broccoli,orig,broccoli,True,125245,0.6,0.0
coarse,broccoli,orig,broccoli,True,125245,0.7,0.0
coarse,broccoli,orig,broccoli,True,125245,0.8,0.0
coarse,broccoli,orig,broccoli,True,125245,0.9,0.0
coarse,broccoli,orig,broccoli,True,125245,1.0,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.0,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.1,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.2,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.3,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.4,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.5,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.6,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.7,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.8,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,0.9,0.0
coarse,broccoli,syn,Brassica oleracea italica,False,125245,1.0,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.0,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.1,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.2,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.3,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.4,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.5,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.6,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.7,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.8,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,0.9,0.0
coarse,broccoli,syn,Brassica oleracea italica,True,125245,1.0,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.0,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.1,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.2,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.3,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.4,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.5,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.6,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.7,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.8,0.0
coarse,broccoli,hyper,crucifer,False,125245,0.9,0.0
coarse,broccoli,hyper,crucifer,False,125245,1.0,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.0,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.1,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.2,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.3,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.4,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.5,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.6,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.7,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.8,0.0
coarse,broccoli,hyper,crucifer,True,125245,0.9,0.0
coarse,broccoli,hyper,crucifer,True,125245,1.0,0.0
coarse,broccoli,orig,broccoli,False,3501,0.0,0.7971539804000537
coarse,broccoli,orig,broccoli,False,3501,0.1,0.7984094145463339
coarse,broccoli,orig,broccoli,False,3501,0.2,0.7994245455523287
coarse,broccoli,orig,broccoli,False,3501,0.3,0.8006248148447389
coarse,broccoli,orig,broccoli,False,3501,0.4,0.8016308016308016
coarse,broccoli,orig,broccoli,False,3501,0.5,0.8030561651629684
coarse,broccoli,orig,broccoli,False,3501,0.6,0.8040470613867857
coarse,broccoli,orig,broccoli,False,3501,0.7,0.8049623977603337
coarse,broccoli,orig,broccoli,False,3501,0.8,0.8060003885543005
coarse,broccoli,orig,broccoli,False,3501,0.9,0.808157612075301
coarse,broccoli,orig,broccoli,False,3501,1.0,0.8054370387453874
coarse,broccoli,orig,broccoli,True,3501,0.0,0.7971539804000537
coarse,broccoli,orig,broccoli,True,3501,0.1,0.7984094145463339
coarse,broccoli,orig,broccoli,True,3501,0.2,0.7994245455523287
coarse,broccoli,orig,broccoli,True,3501,0.3,0.8006248148447389
coarse,broccoli,orig,broccoli,True,3501,0.4,0.8016308016308016
coarse,broccoli,orig,broccoli,True,3501,0.5,0.8030561651629684
coarse,broccoli,orig,broccoli,True,3501,0.6,0.8040470613867857
coarse,broccoli,orig,broccoli,True,3501,0.7,0.8049623977603337
coarse,broccoli,orig,broccoli,True,3501,0.8,0.8060003885543005
coarse,broccoli,orig,broccoli,True,3501,0.9,0.808157612075301
coarse,broccoli,orig,broccoli,True,3501,1.0,0.8054370387453874
